id,secondary_id,detail_text,max_grade,input_type,table_schema,sort_order
705,33,متابعة القضايا التحقيقية غير المنجزة للسنوات السابقة وتشكيل لجان لإنجازها. (0 د),22.00,multiple,null,9
288,33,توفر الاجهزة الكافية وصلاحيتها للعمل.,0.50,multiple,null,37
289,33,السجلات المطلوبة وادامتها.,0.50,multiple,null,38
312,34,الايجاز (معد / غير معد) وفق اسس التفتيش.,1.60,multiple,null,0
313,34,المواقف الرسمية ونسب التكامل (الاشخاص، الاسلحة، الاعتدة، الآليات، اجهزة الاتصالات).,1.60,detailed_table,"[{'"key'": '"category'", '"role'": '"label'", '"type'": '"text'", '"label'": '"الفئة'", '"required'": true}, {'"key'": '"nominal'", '"role'": '"nominal'", '"type'": '"number'", '"label'": '"الملاك'", '"required'": true}, {'"key'": '"actual'", '"role'": '"actual'", '"type'": '"number'", '"label'": '"الموجود'", '"required'": true}, {'"key'": '"deficit'", '"role'": '"deficit'", '"type'": '"number'", '"label'": '"النقص'", '"required'": false}, {'"key'": '"increase'", '"role'": '"increase'", '"type'": '"number'", '"label'": '"الزيادة'", '"required'": false}, {'"key'": '"percentage'", '"role'": '"percentage'", '"type'": '"percentage'", '"label'": '"النسبة %'", '"required'": false}]",1
716,34,مدى المام مدير القسم بواجبات ومهام القسم.,10.00,multiple,null,2
314,34,تيسر نظام البديلين.,1.60,multiple,null,3
315,34,متابعة الامور الجنائية والفنية والاحصائيات والعمليات.,1.60,multiple,null,4
325,35,الايجاز (معد / غير معد) وفق اسس التفتيش.,0.47,multi,,0
326,35,المواقف الرسمية ونسب التكامل (الاشخاص، الاسلحة، الاعتدة، الآليات، اجهزة الاتصالات).,0.47,multi,,1
327,35,مدى الإلمام بقاطع المسؤولية وتحديد الأهداف الحيوية.,0.47,multi,,2
328,35,فعاليته ودوره في ادارة الخلية الاستخبارية المناطقية.,0.47,multi,,3
329,35,الرؤية الاستخبارية ضمن خطة الأمن المناطقي.,0.47,multi,,4
330,35,متابعة تحديد وتدقيق حدود القاطع بالتنسيق مع مدير المنطقة.,0.47,multi,,5
331,35,مدى توفر الخطط الخاصة بجمع وتحليل المعلومات.,0.47,multi,,6
332,35,متابعة التغذية العكسية والدراسات التحليلية.,0.47,multi,,7
333,35,تحديث الخطط بناءً على المتغيرات الميدانية.,0.47,multi,,8
334,35,جانب العملياتية والميدانية,0.47,multi,,9
335,35,عدد المعلومات الاستباقية وبيان المتحقق منها وغير المتحقق منها.,0.47,multi,,10
336,35,تنوع مصادر المعلومات (سرية، علنية، تقنية).,0.47,multi,,11
337,35,فعالية استخدام المراقبة السرية الثابتة والمتحركة.,0.47,multi,,12
338,35,ادامة الاضابير الخاصة بالمصادر وصرف المكافئات المالية حسب نوع المعلومة.,0.47,multi,,13
339,35,مدى الاستفادة من المصادر العلنية.,0.47,multi,,14
340,35,المسح الميداني لقاطع المسؤولية، وتحديث بياناته دورياً ونسبة اكتمالها.,0.47,multi,,15
316,34,متابعة عمل مفارز في السيطرات الرئيسية.,1.60,multiple,null,5
318,34,جمع المعلومات الاستخبارية عن شبكات تجارة المخدرات.,1.60,multiple,null,6
