id,detail_id,option_text,type,score_value,option_type_id
3758,688,تنظيم وإدارة الواجبات والخفارات.,positive,0.00,1
3281,205,التأكد على الالتزام بقيافة الموحدة للجميع ومتابعة قيافة المنتسبين.,negative,0.00,2
2741,675,1,positive,,1
4577,715,يتم توزيع القضايا التحقيقية على الضباط حسب أهميتها.,positive,0.00,1
2275,509,اخرى,negative,,2
2742,675,2,positive,,1
4578,715,القضايا التحقيقية تستلم من ضباط التحقيق حسب الخفارة بغض النظر عن أهميتها. (0 د),negative,0.00,2
4579,715,بعض القضايا التحقيقية المهمة تستلم من قبل ضباط تحقيق احداث. (0 د),negative,0.00,2
4919,739,تسفير المحكومين الى المؤسسات الاصلاحية.,positive,0.00,1
3759,689,توفر وسائل سحب وإنزال الزوارق (العجلات ذات الدفع الرباعي، المنزلقات). (0 د),positive,0.00,1
3760,690,الزوارق (العدد، النوع، الحالة الفنية، نوع المحركات). (0 د),positive,0.00,1
4694,312,الايجاز  غير مطابق للمهمة الفعلية للمنطقة الأمنية وحسب الأسس الموضوعة.,negative,0.00,2
4695,312,مكان عرض الايجاز لا يتناسب مع أهمية المنطقة الأمنية ومن جميع النواحي.,negative,0.00,2
4696,312,الايجاز  غير متكامل من كافة النواحي ( التقديم، الوقت، وسائل الايضاح، توزيع النسخ، حضور المعنيين),negative,0.00,2
4697,312,الايجاز  مطابق للمهمة الفعلية للمنطقة الأمنية وحسب الأسس الموضوعة.,positive,0.00,1
4698,312,مكان عرض الايجاز  يتناسب مع أهمية المنطقة الأمنية ومن جميع النواحي.,positive,0.00,1
4699,312,الايجاز  متكامل من كافة النواحي ( التقديم، الوقت، وسائل الايضاح، توزيع النسخ، حضور المعنيين),positive,0.00,1
4920,740,العمل بأجراء دور الاستلام وتسليم الاوراق للضباط المنقولين.,positive,0.00,1
4921,740,تأكيد مدير القسم على دور الاستلام مع حفظ نسخ من الجرد في قسم الاحصاء.,positive,0.00,1
1923,361,اخرى,negative,,2
2597,635,تدقيق جيد ومتعدد المراحل,negative,,2
1924,362,عدم وجود نشاطات فعّالة لاختراق التنظيمات الارهابية وكشف مبكر لمخططاتها لعدم وجود حركات متطرفة حالياً.,negative,,2
1925,362,(وجود ـ عدم وجود) نشاطات فعّالة لاختراق التنظيمات الارهابية وكشف مبكر لمخططاتها,negative,,2
1926,362,ما هو نوع الاختراق ( فني ـ بشري) وما هي نتائج ذلك الاختراق.,positive,,1
1927,362,(تدريب ـ عدم تدريب) الضباط والمنتسبين على عمليات الاختراق.,negative,,2
1928,362,اخرى,negative,,2
1929,363,يجري متابعة البريد الخاص بجمع المعلومات بالتنسيق مع الأجهزة الأمنية الاخرى لمقاطعة المعلومات ووفق نموذج الهدف.,negative,,2
1930,363,(وجود ـ عدم وجود) متابعة دقيقة وفق نموذج الهدف للبريد الخاص بجمع المعلومات والتنسيق مع الأجهزة الأمنية الأخرى لمقاطعة المعلومات.,negative,,2
1931,363,(تدقيق ـ عدم تدقيق) ومقاطعة المعلومات الواردة من قبل الأجهزة الأمنية العاملة ضمن المنطقة الأمنية.,negative,,2
1932,363,اخرى,negative,,2
1933,364,تطبيق نظام البديلين.,positive,,1
1934,364,تطبيق نظام البديلين بشكل كامل وفعّال في العمل الإداري.,positive,,1
1935,364,يتم العمل بنظام البديل في مفاصل القسم كافة.,positive,,1
1936,364,(تطبيق ـ عدم تطبيق) نظام البديلين بشكل كامل وفعّال في العمل الإداري.,negative,,2
1937,364,(متابعة ـ عدم متابعة) سجل (أوامر القسم الثاني) وادامته.,negative,,2
1938,364,(وجود ـ عدم وجود) انسيابية تداول البريد.,negative,,2
1939,364,اخرى,negative,,2
1940,364,أرشفة الوثائق ومتابعة أسلوب تداول البريد اليومي.,positive,,1
1941,364,وجود انسيابية تداول البريد.,positive,,1
1942,364,عدم وجود أرشفة ألكترونية للبريد الرسمي والوثائق.,negative,,2
1943,364,العمل بجهاز الماسح الضوئي (سكنر) لا رشفة البريد اليومي للقسم بشكل يومي.,negative,,2
1944,364,(وجود ـ عدم وجود) أرشفة ألكترونية للبريد الرسمي والوثائق.,negative,,2
1945,364,(تنظيم ـ عدم تنظيم) تداول البريد اليومي وفق سياق الصحيح.,negative,,2
1946,364,(حفظ ـ عدم حفظ) الأرشيف الألكتروني بهاردات خارجية مخزونة بأماكن مؤمنة.,negative,,2
1947,364,اخرى,negative,,2
1948,364,متابعة تنفيذ الأوامر الإدارية.,positive,,1
1949,364,تنظيم تداول البريد اليومي وفق سياق الصحيح.,positive,,1
1950,364,عدم حفظ الأرشيف الإلكتروني بهاردات خارجية مخزونة بأماكن مؤمنة.,negative,,2
1951,364,وجود متابعة دقيقة وتنفيذ فوري لتنفيذ الأوامر الإدارية.,positive,,1
1952,364,تنفيذ اوامر النقل من والى القسم الصادرة من المراجع.,negative,,2
1953,364,(وجود ـ عدم وجود) متابعة دقيقة وتنفيذ فوري لتنفيذ الأوامر الإدارية.,negative,,2
1954,364,(تنفيذ ـ عدم تنفيذ) اوامر النقل من والى القسم الصادرة من المراجع.,negative,,2
1955,364,تأخير في تنفيذ الأوامر الإدارية.,negative,,2
1956,364,اخرى,negative,,2
1957,364,فتح وادامة كافة السجلات المطلوبة.,negative,,2
1958,364,فتح كافة السجلات المطلوبة.,negative,,2
1959,364,ادامة السجلات وفق التعليمات والتوجيهات.,positive,,1
1960,364,(فتح ـ عدم فتح) كافة السجلات المطلوبة.,negative,,2
1961,364,(ادامة ـ عدم ادامة) السجلات وفق التعليمات والتوجيهات.,negative,,2
1962,364,اخرى,negative,,2
1963,364,مدى التعاون مع الأجهزة الأمنية والاستخبارية الأخرى.,positive,,1
1964,364,(وجود ـ عدم وجود) تعاون عالٍ ومتكامل مع الأجهزة الأمنية والاستخبارية الأخرى.,negative,,2
1965,364,(وجود ـ عدم وجود) تبادل للمعلومات مع الاجهزة الأمنية الاخرى، والعمل بمبدأ المعلومة لمن يحتاجها.,negative,,2
1966,364,اخرى,negative,,2
1967,364,المشاركة في اللجان والاجتماعات الأمنية.,negative,,2
1968,364,وجود تعاون مع الأجهزة الأمنية والاستخبارية الأخرى.,positive,,1
1969,364,وجود مشاركة فعالة ودورية في اللجان والاجتماعات الأمنية.,positive,,1
1970,364,(وجود ـ عدم وجود) مشاركة فعالة ودورية في اللجان والاجتماعات الأمنية.,negative,,2
1971,364,عدد اللجان المشتركة ضمن المنطقة الأمنية.,negative,,2
1972,364,اخرى,negative,,2
1973,364,متابعة المعلومات مع المختارين والوجهاء والحراس الليليين.,negative,,2
1974,364,وجود تبادل نشاط ومنظم للمعلومات مع المختارين والوجهاء والحراس الليليين.,negative,,2
1975,364,عدم وجود سجل بأسماء المختارين وعناوينهم.,negative,,2
1976,364,(وجود ـ عدم وجود) تبادل نشط ومنظم للمعلومات مع المختارين والوجهاء والحراس الليليين.,negative,,2
1977,364,(وجود ـ عدم وجود) سجل باسماء المختارين وعناوينهم.,negative,,2
1978,364,عدد المعلومات التي تم استحصالها من المختارين وبالعكس.,negative,,2
1979,364,اخرى,negative,,2
3762,691,شبكة اتصالات جيدة ومؤمنة مع كافة الزوارق والمفارز,positive,0.00,1
3763,691,الفعالية وموثوقية الاتصالات مأمنه مع المقر الرئيسي. (0 د),positive,0.00,1
3764,692,تقييم جيد لجاهزية ورش صيانة الزوارق (البرادين). (0 د),positive,0.00,1
4590,272,توجد متابعة للواجبات والقيافة العسكرية للمنتسبين وادامة مرافق المركز.,positive,0.00,1
4591,272,لديه الكفاءة ومتابعته للواجبات والقيافة العسكرية للمنتسبين وادامة مرافق المركز.,positive,0.00,1
4592,272,ضعف متابعته للواجبات والقيافة العسكرية للمنتسبين وادامة مرافق المركز.,negative,0.00,2
4593,272,عدم متابعته للواجبات والقيافة العسكرية للمنتسبين وادامة مرافق المركز.,negative,0.00,2
4594,273,توجد متابعة اوامر القسم الثاني فيما يخص فقرات الغياب والهروب والعقوبات والاجازات.,positive,0.00,1
4595,273,متابعة أوامر القسم الثاني فيما يخص فقرات الغياب والهروب والعقوبات والاجازات.,positive,0.00,1
4596,273,ضعف متابعة اوامر القسم الثاني فيما يخص فقرات الغياب والهروب والعقوبات والاجازات.,negative,0.00,2
4597,273,عدم متابعة اوامر القسم الثاني فيما يخص فقرات الغياب والهروب والعقوبات والاجازات.,negative,0.00,2
4598,275,توفر لوحات المواقف الرسمية.,positive,0.00,1
4599,275,لوحات المواقف الرسمية غير مدامة.,negative,0.00,2
4600,275,عدم توفر لوحات المواقف الرسمية.,negative,0.00,2
4601,277,توفر غرفة خاصة بالأرشفة الورقية للكتب الرسمية للسنوات السابقة والقضايا التحقيقية المغلقة والمحسومة.,positive,0.00,1
4602,277,غرفة الأرشفة الورقية للكتب الرسمية غير مناسبة.,negative,0.00,2
4603,277,عدم توفر غرفة خاصة بالأرشفة الورقية للكتب الرسمية.,negative,0.00,2
4703,314,وجود معاون يدير المديرية عند تمتع المدير بالاجازات او الواجبات الخارجية.,positive,0.00,1
4704,314,يقوم بزيارات ميدانية ضمن قاطع المسؤولية للشعب والمفارز المنتشرة.,positive,0.00,1
4705,315,عقد مؤتمرات اسبوعية وعرض الانشطة من خلاله تحريراً.,positive,0.00,1
4706,315,متابعة التقارير الجنائية والاجابات الخاصة بالنتائج في القضايا التحقيقية.,positive,0.00,1
4192,705,متابعة القضايا التحقيقية غير المنجزة للسنوات السابقة وتشكيل لجان لإنجازها. (0 د),positive,0.00,1
4193,705,وجود متابعة للقضايا التحقيقية غير المنجزة للسنوات السابقة وتشكيل لجان لإنجازها. (0 د),negative,0.00,2
4194,705,ضعف متابعة القضايا التحقيقية غير المنجزة للسنوات السابقة وعدم تشكيل لجان لإنجازها. (0 د),negative,0.00,2
4604,280,السجلات المطلوبة والاضابير مفتوحة ومدامة وفق أسس التفتيش.,positive,0.00,1
4605,280,فتح وادامة السجلات المطلوبة والاضابير.,positive,0.00,1
4606,280,عدم فتح وادامة السجلات المطلوبة والاضابير.,negative,0.00,2
4607,281,تم اشراك ضباط ومنتسبي المركز بدورات تطويرية في مجال عمليات الشرطة والتحقيق الجنائي وفق خطة التدريب الوزارية.,positive,0.00,1
3282,205,متابعة الزي الرسمي وعدم السماح بارتداء الألوان المغايرة.,positive,0.00,1
3283,205,متابعة القيافة الخاصة بسائقي الدراجات النارية.,positive,0.00,1
2598,635,تدقيق محدود,positive,,1
2599,635,تدقيق ضعيف,positive,,1
4608,281,قلة اشراك ضباط ومنتسبي المركز بدورات تطويرية في مجال عمليات الشرطة والتحقيق الجنائي وفق خطة التدريب الوزارية.,negative,0.00,2
4609,281,اشراك ضباط ومنتسبي المركز بدورات تطويرية في مجال عمليات الشرطة والتحقيق الجنائي وفق خطة التدريب الوزارية.,positive,0.00,1
